"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1003,"ARRECIFES","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","714","STRADA ADVENTURE 1.6","1","Privado","Jurídica","ARRECIFES","BUENOS AIRES","No aplica","1981","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-27","2020-04-27",1009,"BAHIA BLANCA Nº 2","Buenos Aires","Nacional","2020","26","CHASIS CON CABINA","29","MERCEDES BENZ","GE","ATEGO 1721 48","1","Privado","Jurídica","BAHÍA BLANCA","BUENOS AIRES","No aplica","2002","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-29","2020-04-29",1036,"GENERAL PINTO","Buenos Aires","Nacional","2020","20","PICK-UP","68","TOYOTA","97","HILUX 4X4 D/C DX 2.4 TDI 6 M/T","1","Privado","Jurídica","VILLA FRANCIA(ESTACIÓN CORONEL GRANADA)","BUENOS AIRES","No aplica","1981","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1206,"OLIVOS Nº 07","Buenos Aires","Protocolo 21","2020","02","SEDAN 4 PUERTAS","130","TOYOTA","912","ETIOS XLS 1.5 6M/T","1","Privado","Jurídica","MUNRO","BUENOS AIRES","No aplica","1986","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2020-04-23","2020-04-23",1001,"ADROGUE Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","645","POLO HIGHLINE 1.6 MSI 110CV AT","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1001,"ADROGUE Nº 1","Buenos Aires","Protocolo 21","2020","04","RURAL 5 PUERTAS","151","JEEP","092","RENEGADE 1.8L SPORT","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1001,"ADROGUE Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","130","TOYOTA","908","ETIOS X 1.5 6M/T","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-30","2020-04-30",1001,"ADROGUE Nº 1","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Masculino","1972","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-22","2020-04-22",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","2020","22","FURGON","07","CITROEN","FS","BERLINGO FURGON HDI 92 BUSINESS MIXTO AM20","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-23","2020-04-23",1002,"AMERICA","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","714","STRADA ADVENTURE 1.6","1","Privado","Física","AMERICA","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-29","2020-04-29",1002,"AMERICA","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZG","RANGER DC 4X2 XL 2.2L D","1","Privado","Física","AMÉRICA","BUENOS AIRES","Femenino","1953","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-30","2020-04-30",1003,"ARRECIFES","Buenos Aires","Nacional","2020","31","SEMIRREMOLQUE","DN","RANDON","22","SR.BA-02+01","1","Privado","Jurídica","ARRECIFES","BUENOS AIRES","No aplica","1993","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1004,"AVELLANEDA Nº 1","Buenos Aires","Protocolo 21","2020","04","RURAL 5 PUERTAS","112","RENAULT","B01","CAPTUR INTENS 1.6 CVT","1","Privado","Física","SARANDÍ","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-23","2020-04-23",1004,"AVELLANEDA Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","670","GOL TREND TRENDLINE 1.6 GAS 101CV MQ","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1004,"AVELLANEDA Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","104","PEUGEOT","861","208 ALLURE 1.6 115","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1004,"AVELLANEDA Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","044","FIAT","849","MOBI 1.0 8V EASY","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1962","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1004,"AVELLANEDA Nº 1","Buenos Aires","Importado","2020","04","RURAL 5 PUERTAS","112","RENAULT","A17","DUSTER PH2 EXPRESSION 1.6","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1952","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1005,"AVELLANEDA Nº 2","Buenos Aires","Protocolo 21","2019","04","RURAL 5 PUERTAS","047","FORD","B62","ECOSPORT TITANIUM 1.5L MT N","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Masculino","1948","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1005,"AVELLANEDA Nº 2","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","VILLA DOMÍNICO","BUENOS AIRES","Masculino","1941","ARGENTINA",34,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1005,"AVELLANEDA Nº 2","Buenos Aires","Importado","2020","05","SEDAN 5 PUERTAS","092","MERCEDES BENZ","C88","A 200 PROGRESSIVE","1","Privado","Física","WILDE","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-30","2020-04-30",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","2020","12","SEDAN 4 PUERTAS","17","FIAT","CJ","CRONOS DRIVE 1.3 MT","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","2020","12","SEDAN 4 PUERTAS","08","CHEVROLET","ER","CRUZE 4P 1.4T LT MT","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Femenino","1968","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-23","2020-04-23",1006,"AYACUCHO","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","AYACUCHO","BUENOS AIRES","Masculino","1946","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-27","2020-04-27",1006,"AYACUCHO","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","AYACUCHO","BUENOS AIRES","Femenino","1968","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1006,"AYACUCHO","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","044","FIAT","866","ARGO DRIVE 1.3","1","Privado","Física","AYACUCHO","BUENOS AIRES","Femenino","1959","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1007,"AZUL Nº 1","Buenos Aires","Importado","2019","13","FURGON","044","FIAT","908","DUCATO CARGO MEDIO L2H1 2.3 MULTIJET","1","Privado","Física","AZUL","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1007,"AZUL Nº 1","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZN","RANGER DC 4X4 XLT AT 3.2L D","1","Privado","Física","AZUL","BUENOS AIRES","Masculino","1946","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1007,"AZUL Nº 1","Buenos Aires","Importado","2020","04","RURAL 5 PUERTAS","112","RENAULT","A16","DUSTER PH2 DYNAMIQUE 1.6","1","Privado","Física","AZUL","BUENOS AIRES","Masculino","1945","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-30","2020-04-30",1007,"AZUL Nº 1","Buenos Aires","Protocolo 21","2019","02","SEDAN 4 PUERTAS","130","TOYOTA","872","COROLLA XEI PACK 1.8 6M/T","1","Privado","Física","AZUL","BUENOS AIRES","Masculino","1953","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Protocolo 21","2020","02","SEDAN 4 PUERTAS","130","TOYOTA","A58","COROLLA 2.0 SEG CVT","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Femenino","1955","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-27","2020-04-27",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","130","TOYOTA","908","ETIOS X 1.5 6M/T","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Nacional","2020","22","FURGON","07","CITROEN","FP","BERLINGO FURGON VTI 115 BUSINESS AM20","1","Privado","Jurídica","BAHÍA BLANCA","BUENOS AIRES","No aplica","1986","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Nacional","2020","22","FURGON","07","CITROEN","FP","BERLINGO FURGON VTI 115 BUSINESS AM20","1","Privado","Jurídica","BAHÍA BLANCA","BUENOS AIRES","No aplica","1986","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZN","RANGER DC 4X4 XLT AT 3.2L D","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","024","CHEVROLET","590","SPIN 1.8 N LTZ M/T","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1008,"BAHIA BLANCA Nº 1","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","BAHIA BLANCA","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1009,"BAHIA BLANCA Nº 2","Buenos Aires","Protocolo 21","2020","16","CHASIS S/CABINA","063","IVECO","448","DAILY 70C17 PASO 4350 SCUDATO","1","Privado","Física","INGENIERO WHITE","BUENOS AIRES","Masculino","1955","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1009,"BAHIA BLANCA Nº 2","Buenos Aires","Importado","2020","04","RURAL 5 PUERTAS","112","RENAULT","A17","DUSTER PH2 EXPRESSION 1.6","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1009,"BAHIA BLANCA Nº 2","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","104","PEUGEOT","882","2008 ALLURE 1.6 AM20","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Femenino","1956","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-30","2020-04-30",1009,"BAHIA BLANCA Nº 2","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","BAHÍA BLANCA","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-22","2020-04-22",1010,"BALCARCE","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","670","GOL TREND TRENDLINE 1.6 GAS 101CV MQ","1","Privado","Física","BALCARCE","BUENOS AIRES","Femenino","1951","CHILE",100,"06","CHL"
"INSCRIPCION INICIAL NACIONAL","2020-04-23","2020-04-23",1010,"BALCARCE","Buenos Aires","Nacional","2019","20","PICK-UP","68","TOYOTA","95","HILUX 4X4 D/C SRV 2.8 TDI 6 M/T","1","Privado","Física","BALCARCE","BUENOS AIRES","Masculino","1956","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-23","2020-04-23",1010,"BALCARCE","Buenos Aires","Nacional","2020","30","ACOPLADO","69","BONANO","CA","ACOPLADO BARANDA VOLCABLE DE 4 EJES","1","Privado","Física","BALCARCE","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-27","2020-04-27",1010,"BALCARCE","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZN","RANGER DC 4X4 XLT AT 3.2L D","1","Privado","Jurídica","BALCARCE","BUENOS AIRES","No aplica","2011","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2020-04-27","2020-04-27",1010,"BALCARCE","Buenos Aires","Importado","2020","82","PICK-UP CABINA DOBLE","047","FORD","C52","F-150 LARIAT LUXURY 5.0L V8 4X4 AT","1","Privado","Jurídica","BALCARCE","BUENOS AIRES","No aplica","2008","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-28","2020-04-28",1010,"BALCARCE","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZT","RANGER DC 4X2 XLT AT 3.2L D","1","Privado","Física","BALCARCE","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-30","2020-04-30",1010,"BALCARCE","Buenos Aires","Protocolo 21","2020","02","SEDAN 4 PUERTAS","136","VOLKSWAGEN","651","VIRTUS TRENDLINE 1.6 MSI 110CV","1","Privado","Física","BALCARCE","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1011,"BARADERO","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","112","RENAULT","B46","SANDERO PH2 STEPWAY INTENS 1.6 CVT","1","Privado","Física","BARADERO","BUENOS AIRES","Femenino","1960","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-28","2020-04-28",1011,"BARADERO","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","104","PEUGEOT","856","208 FELINE 1.6 TIPTRONIC 6 115","1","Privado","Física","BARADERO","BUENOS AIRES","Femenino","1952","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1011,"BARADERO","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","638","POLO TRENDLINE 1.6 MSI 110CV","1","Privado","Física","BARADERO","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-22","2020-04-22",1012,"BOLIVAR","Buenos Aires","Nacional","2019","26","CHASIS CON CABINA","67","IVECO","BX","170E28 MLC","0","Oficial","Jurídica","BOLIVAR","BUENOS AIRES","No aplica","1900","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-22","2020-04-22",1012,"BOLIVAR","Buenos Aires","Nacional","2019","26","CHASIS CON CABINA","67","IVECO","BX","170E28 MLC","0","Oficial","Jurídica","BOLIVAR","BUENOS AIRES","No aplica","1900","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2020-04-22","2020-04-22",1012,"BOLIVAR","Buenos Aires","Nacional","2019","26","CHASIS CON CABINA","67","IVECO","EG","170E28NCM32","0","Oficial","Jurídica","BOLÍVAR","BUENOS AIRES","No aplica","1900","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1012,"BOLIVAR","Buenos Aires","Protocolo 21","2020","04","RURAL 5 PUERTAS","136","VOLKSWAGEN","694","T-CROSS HIGHLINE 1.6 MSI 110CV AT","1","Privado","Física","BOLÍVAR","BUENOS AIRES","Femenino","1953","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-30","2020-04-30",1012,"BOLIVAR","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","024","CHEVROLET","776","S10 CD 2.8 TD 4X4 LT AT","1","Privado","Física","BOLÍVAR","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-30","2020-04-30",1012,"BOLIVAR","Buenos Aires","Nacional","2020","22","FURGON","29","MERCEDES BENZ","GZ","SPRINTER 516 CDI FURGON 4325","1","Privado","Física","BOLÍVAR","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-24","2020-04-24",1013,"BRAGADO","Buenos Aires","Nacional","2020","30","ACOPLADO","AF","HERMANN","HN","BARANDA VOLCABLE A.BV.4E.11","1","Privado","Física","BRAGADO","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1013,"BRAGADO","Buenos Aires","Protocolo 21","2019","82","PICK-UP CABINA DOBLE","024","CHEVROLET","580","S10 2.8TD 4X2 LT","1","Privado","Física","BRAGADO","BUENOS AIRES","Femenino","1961","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-23","2020-04-23",1014,"BRANDSEN","Buenos Aires","Importado","2020","13","FURGON","104","PEUGEOT","814","EXPERT PREMIUM 1.6 HDI","1","Privado","Física","BRANDSEN","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1014,"BRANDSEN","Buenos Aires","Importado","2019","10","TODO TERRENO","018","BMW","393","X1 1.8I","1","Privado","Física","BRANDSEN","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-27","2020-04-27",1014,"BRANDSEN","Buenos Aires","Protocolo 21","2020","05","SEDAN 5 PUERTAS","130","TOYOTA","A16","YARIS S 1.5 CVT","1","Privado","Física","BRANDSEN","BUENOS AIRES","Femenino","1969","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-29","2020-04-29",1014,"BRANDSEN","Buenos Aires","Protocolo 21","2020","10","TODO TERRENO","047","FORD","C16","ECOSPORT STORM 2.0L AT","1","Privado","Física","BRANDSEN","BUENOS AIRES","Masculino","1968","ARGENTINA",50,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-30","2020-04-30",1014,"BRANDSEN","Buenos Aires","Nacional","2020","20","PICK-UP","19","FORD","ZU","RANGER DC 4X2 XLT 2.5L N","1","Privado","Física","JEPPENER","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-24","2020-04-24",1015,"CARHUE","Buenos Aires","Nacional","2020","20","PICK-UP","AC","NISSAN","07","FRONTIER CD XE 2.3 D 4X4 MT","1","Privado","Física","CARHUÉ","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2020-04-24","2020-04-24",1015,"CARHUE","Buenos Aires","Protocolo 21","2020","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","VILLA MAZA","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-29","2020-04-29",1015,"CARHUE","Buenos Aires","Nacional","2020","31","SEMIRREMOLQUE","90","LAMBERT","AY","S111TA","1","Privado","Física","VILLA MAZA","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2020-04-23","2020-04-23",1016,"CARLOS CASARES","Buenos Aires","Nacional","2019","20","PICK-UP","68","TOYOTA","94","HILUX 4X4 D/C SRV 2.8 TDI 6 A/T","1","Privado","Jurídica","CARLOS CASARES","BUENOS AIRES","No aplica","1961","No aplica",100,"06",""
